,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2
128,128,643.572864321608,1.2443949862305286,0.8933069173047226,0.351088068925806,5.8793072398243975,5.881523565117186,-0.002216325292788923,10.519620886718869,10.874335264257812,-0.35471437753894364
129,129,648.5929648241206,1.2434349402734377,0.8907134041406579,0.3527215361327798,5.879965840703125,5.881200823867188,-0.001234983164062342,10.521027405039064,10.872145381367188,-0.35111797632812447
130,130,653.6130653266331,1.2448114863865394,0.8924422246484707,0.3523692617380687,5.88496829578113,5.886296447578125,-0.0013281517969954137,10.52513622423822,10.87578350953125,-0.3506472852930287
131,131,658.6331658291457,1.2455846786521647,0.8937124679687815,0.35187221068338326,5.8849937146679085,5.88559951109375,-0.0006057964258410209,10.522943939980408,10.87467963421875,-0.35173569423834294
132,132,663.6532663316582,1.243631793730409,0.8918370035156569,0.35179479021475224,5.883832648808654,5.882690266523438,0.0011423822852156817,10.521225811484376,10.872739190546875,-0.35151337906249935
133,133,668.6733668341708,1.2464490541796875,0.8972612246484688,0.34918782953121874,5.888362686601683,5.888161271640626,0.00020141496105718915,10.525877919921875,10.877657414726563,-0.3517794948046884
134,134,673.6934673366834,1.244794720722477,0.897704985859409,0.34708973486306793,5.88639179830108,5.885602791015625,0.0007890072854550567,10.525395164882813,10.87507056261719,-0.3496753977343765
135,135,678.7135678391959,1.243409946484375,0.8925144023047198,0.3508955441796553,5.8832961875587735,5.882548867148438,0.000747320410335206,10.522714692558655,10.872611793906252,-0.34989710134759733
136,136,683.7336683417085,1.2408055004686305,0.8912005675781584,0.3496049328904721,5.882077279980528,5.882187709921875,-0.00011042994134680129,10.521191720175722,10.873458479218751,-0.3522667590430295
137,137,688.7537688442211,1.2349213609177894,0.8830953448828468,0.35182601603494257,5.874110791386778,5.873953013671875,0.00015777771490288472,10.51449110625,10.866449031406251,-0.3519579251562508
138,138,693.7738693467336,1.2339217105076932,0.8808281095312822,0.35309360097641096,5.874475192695432,5.8731569653125,0.0013182273829324131,10.513393232324159,10.864868508164061,-0.3514752758399027
139,139,698.7939698492462,1.2318818748240394,0.8788678096484712,0.3530140651755682,5.8729935820117785,5.87012804890625,0.002865533105528506,10.510986359667909,10.86157210984375,-0.35058575017584204
140,140,703.8140703517588,1.2342573081247612,0.8805830951172199,0.3536742130075413,5.876380420918029,5.872630081367188,0.00375033955084092,10.512352509394592,10.862921423398438,-0.35056891400384593
141,141,708.8341708542713,1.2396939327927896,0.8853738690625335,0.35432006373025615,5.883609962070432,5.879838091757813,0.00377187031261883,10.516961260370914,10.867531344843751,-0.350570084472837
142,142,713.8542713567839,1.2383939218162268,0.8863305156250322,0.3520634061911946,5.880734820898557,5.879275878203125,0.0014589426954314533,10.517715439902165,10.86789159265625,-0.3501761527540843
143,143,718.8743718592964,1.2389939504099772,0.8880761242578454,0.35091782615213174,5.8805282684375,5.879244689140625,0.001283579296874393,10.519558268554688,10.868147309414063,-0.34858904085937503
144,144,723.894472361809,1.2350223535935108,0.8854759009765962,0.3495464526169145,5.879126856796876,5.87795376828125,0.0011730885156264748,10.521311964804568,10.86939904453125,-0.34808707972668174
145,145,728.9145728643216,1.2297777667967555,0.8810404695703451,0.34873729722641045,5.873043784140745,5.871131291210938,0.001912492929807108,10.515670624238462,10.863107894335936,-0.3474372700974744
146,146,733.9346733668341,1.236297288867068,0.8852443206640965,0.3510529682029715,5.878457536230409,5.877087324882813,0.001370211347595962,10.517467693203006,10.867656465078126,-0.35018877187511954
147,147,738.9547738693467,1.2358422944530054,0.8852624785547195,0.3505798158982859,5.875423857714664,5.877509261835938,-0.0020854041212734487,10.515458611406132,10.866269923632814,-0.35081131222668205
148,148,743.9748743718592,1.2363368324609376,0.8854528828125323,0.3508839496484053,5.874174588515506,5.875976075351563,-0.0018014868360571867,10.510269288261659,10.862898916445312,-0.35262962818365295
149,149,748.9949748743718,1.2376852207032445,0.8886951660547204,0.34899005464852406,5.876445820566348,5.877851921054687,-0.0014061004883396677,10.51623195624988,10.866622257304687,-0.35039030105480684
150,150,754.0150753768844,1.2326890925197107,0.8841858508203462,0.34850324169936453,5.87341726218738,5.871183549531251,0.00223371265612915,10.513028474257812,10.861490413554687,-0.3484619392968753
151,151,759.0351758793969,1.2319939881444715,0.8844641467187833,0.3475298414256882,5.876526019023318,5.871480994296876,0.005045024726442193,10.515927619589784,10.863539488671876,-0.3476118690820922
152,152,764.0552763819095,1.2298853895117785,0.8834317637890953,0.34645362572268323,5.873298156308534,5.869735642226563,0.0035625140819712797,10.516433558515745,10.861877709960936,-0.34544415144519114
153,153,769.0753768844221,1.2282762906055287,0.8814603580859703,0.34681593251955833,5.871254561191346,5.868417121992188,0.0028374391991583536,10.512984270292911,10.858763381093752,-0.3457791108008408
154,154,774.0954773869346,1.2273413457032447,0.8812269006250333,0.34611444507821143,5.872174279121034,5.869624825546875,0.002549453574158811,10.51442932076166,10.86146019015625,-0.34703086939459027
155,155,779.1155778894472,1.2267585556640626,0.8799037028906581,0.34685485277340444,5.874756029648318,5.871289796953125,0.0034662326951933053,10.517632319882813,10.8635733840625,-0.3459410641796872
156,156,784.1356783919598,1.227156015331852,0.878727108945347,0.3484289063865049,5.875809436171636,5.8715711491015625,0.004238287070073454,10.517640115742068,10.861873581054688,-0.34423346531261956
157,157,789.1557788944723,1.228318251269352,0.8819959289062833,0.3463223223630687,5.877736056757573,5.87402942515625,0.0037066316013234513,10.521662400331852,10.867047831914062,-0.34538543158221024
158,158,794.1758793969849,1.2312474698044487,0.8879534965234714,0.3432939732809772,5.8809491473239195,5.877167334023438,0.0037818133004812182,10.523692336835937,10.868599959609377,-0.3449076227734391
159,159,799.1959798994974,1.2309980991991591,0.8883315126172211,0.34266658658193805,5.8779528546875,5.877387645156251,0.0005652095312491667,10.523897012539063,10.867456571445313,-0.3435595589062501
160,160,804.21608040201,1.2342941706834145,0.892356950156282,0.3419372205271325,5.879849866289062,5.879647218203125,0.00020264808593672967,10.528473211797113,10.870271699648438,-0.3417984878513245
161,161,809.2361809045226,1.237076839648557,0.8931475117578453,0.3439293278907116,5.880151982089784,5.879422637539062,0.0007293445507219332,10.527726968164302,10.868804259882813,-0.341077291718511
